graph,minDFScode
0,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)"
1,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)"
2,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(2,3,1,notifythecustomerbyemail,3,applicationrejected)"
3,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)"
4,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)"
5,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(5,6,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
6,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,7,1,createanewbankaccount,5,sendabankcardinaletter)(5,6,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
7,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,7,1,createanewbankaccount,5,sendabankcardinaletter)(4,8,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
8,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,7,1,createanewbankaccount,6,sendapinnumberinaletter)(5,6,1,sendawelcomepackinaletter,7,anewbankaccountwascreated)"
9,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)"
10,"(0,1,1,onlineapplicationreceived,0,evaluatetheapplication)(1,2,1,evaluatetheapplication,1,notifythecustomerbyemail)(1,4,1,evaluatetheapplication,2,createanewbankaccount)(2,3,1,notifythecustomerbyemail,3,applicationrejected)(4,5,1,createanewbankaccount,4,sendawelcomepackinaletter)(4,6,1,createanewbankaccount,5,sendabankcardinaletter)(6,7,1,sendabankcardinaletter,8,anewbankaccountwascreated)"
